date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:17:47	113/113	---M-Z	200	added ('OK')	text/plain	date:Mon,%2007%20Jul%202025%2007:17:47%20GMT	https://lemorehotels.com/robots.txt		(from )
14:17:47	83499/83499	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jul%202025%2007:17:47%20GMT	https://lemorehotels.com/	C:/wedcopy/lemorecp/lemorehotels.com/index.html	(from )
14:17:47	532/532	---M--	200	added ('OK')	image/png	etag:%22214-6751ac26-925b17f77df25ab;;;%22	https://lemorehotels.com/wp-content/uploads/2023/07/lemore-favicon-32x32-1.png	C:/wedcopy/lemorecp/lemorehotels.com/wp-content/uploads/2023/07/lemore-favicon-32x32-1.png	(from https://lemorehotels.com/)
14:17:48	3733/3733	---M--	200	added ('OK')	image/png	etag:%22e95-6751ac26-b6ddf64cebb208dc;;;%22	https://lemorehotels.com/wp-content/uploads/2023/07/lemore-favicon-192x192-1.png	C:/wedcopy/lemorecp/lemorehotels.com/wp-content/uploads/2023/07/lemore-favicon-192x192-1.png	(from https://lemorehotels.com/)
14:17:48	3374/3374	---M--	200	added ('OK')	image/png	etag:%22d2e-6751ac26-65f17434ff421811;;;%22	https://lemorehotels.com/wp-content/uploads/2023/07/lemore-favicon-180x180-1.png	C:/wedcopy/lemorecp/lemorehotels.com/wp-content/uploads/2023/07/lemore-favicon-180x180-1.png	(from https://lemorehotels.com/)
14:17:48	5610/5610	---M--	200	added ('OK')	image/png	etag:%2215ea-6751ac26-5f02ab16ebf54d12;;;%22	https://lemorehotels.com/wp-content/uploads/2023/07/lemore-favicon-270x270-1.png	C:/wedcopy/lemorecp/lemorehotels.com/wp-content/uploads/2023/07/lemore-favicon-270x270-1.png	(from https://lemorehotels.com/)
14:17:48	104484/104484	---M-Z	200	added ('OK')	text/css	etag:%2219824-6751ac26-f793ab458aa37b24;gz%22	https://lemorehotels.com/wp-includes/css/dist/block-library/style.min.css?ver=6.3.5	C:/wedcopy/lemorecp/lemorehotels.com/wp-includes/css/dist/block-library/style.min072b.css	(from https://lemorehotels.com/)
14:17:49	50020/50020	---M-Z	200	added ('OK')	text/css	etag:%22c364-6751ac26-24b60ffc07a3cd5;gz%22	https://lemorehotels.com/wp-content/themes/letoh/style.css?ver=6.3.5	C:/wedcopy/lemorecp/lemorehotels.com/wp-content/themes/letoh/style072b.css	(from https://lemorehotels.com/)
14:17:49	87462/87462	---M-Z	200	added ('OK')	application/javascript	etag:%22155a6-6751ac26-85ed8bf097b558d6;gz%22	https://lemorehotels.com/wp-content/themes/letoh/assets/js/jquery.min.js?ver=6.3.5	C:/wedcopy/lemorecp/lemorehotels.com/wp-content/themes/letoh/assets/js/jquery.min072b.js	(from https://lemorehotels.com/)
14:17:49	80377/80377	---M-Z	200	added ('OK')	application/javascript	etag:%22139f9-6751ac26-3f56dd71e589e2f8;gz%22	https://lemorehotels.com/wp-content/themes/letoh/assets/js/bootstrap.bundle.min.js?ver=6.3.5	C:/wedcopy/lemorecp/lemorehotels.com/wp-content/themes/letoh/assets/js/bootstrap.bundle.min072b.js	(from https://lemorehotels.com/)
